Ortschaftsname,PLZ,Zusatzziffer,Gemeindename,BFS-Nr,Kantonskürzel,E,N
Aeugst am Albis,8914,0,Aeugst am Albis,1,ZH,679435,235653
Aeugstertal,8914,2,Aeugst am Albis,1,ZH,679815,237410
Zwillikon,8909,0,Affoltern am Albis,2,ZH,675104,237891
Affoltern am Albis,8910,0,Affoltern am Albis,2,ZH,676439,236967
Bonstetten,8906,0,Bonstetten,3,ZH,677798,241025
Hausen am Albis,8915,0,Hausen am Albis,4,ZH,682996,232962
Ebertswil,8925,0,Hausen am Albis,4,ZH,684168,231177
Hedingen,8908,0,Hedingen,5,ZH,676518,239054
Kappel am Albis,8926,0,Kappel am Albis,6,ZH,682261,231285
Hauptikon,8926,2,Kappel am Albis,6,ZH,680023,231590
Uerzlikon,8926,3,Kappel am Albis,6,ZH,680340,230665
Knonau,8934,0,Knonau,7,ZH,677402,230822
Maschwanden,8933,0,Maschwanden,8,ZH,674785,232061
Mettmenstetten,8932,0,Mettmenstetten,9,ZH,677613,232938
Obfelden,8912,0,Obfelden,10,ZH,674501,235214
Ottenbach,8913,0,Ottenbach,11,ZH,673059,237325
Rifferswil,8911,0,Rifferswil,12,ZH,680092,233046
Stallikon,8143,0,Stallikon,13,ZH,679550,242200
Uetliberg,8143,2,Stallikon,13,ZH,679541,244825
Wettswil,8907,0,Wettswil am Albis,14,ZH,678320,243535
Adlikon b. Andelfingen,8452,0,Adlikon,21,ZH,694409,270774
Benken ZH,8463,0,Benken (ZH),22,ZH,691309,278717
Berg am Irchel,8415,0,Berg am Irchel,23,ZH,687248,269506
Gräslikon,8415,1,Berg am Irchel,23,ZH,687807,268053
Buch am Irchel,8414,0,Buch am Irchel,24,ZH,689122,267148
Dachsen,8447,0,Dachsen,25,ZH,688269,280254
Dorf,8458,0,Dorf,26,ZH,690995,269699
Feuerthalen,8245,0,Feuerthalen,27,ZH,690270,282950
Langwiesen,8246,0,Feuerthalen,27,ZH,691949,282202
Flaach,8416,0,Flaach,28,ZH,687597,269831
Flurlingen,8247,0,Flurlingen,29,ZH,689292,282182
Andelfingen,8450,0,Andelfingen,30,ZH,693252,272314
Henggart,8444,0,Henggart,31,ZH,693669,268742
Humlikon,8457,0,Humlikon,32,ZH,692613,270163
Kleinandelfingen,8451,0,Kleinandelfingen,33,ZH,693580,272836
Alten,8453,0,Kleinandelfingen,33,ZH,690908,272782
Oerlingen,8461,0,Kleinandelfingen,33,ZH,693030,275546
Nohl,8212,4,Laufen-Uhwiesen,34,ZH,687812,280578
Uhwiesen,8248,0,Laufen-Uhwiesen,34,ZH,689802,280734
Marthalen,8460,0,Marthalen,35,ZH,690935,275650
Ellikon am Rhein,8464,0,Marthalen,35,ZH,687134,273399
Oberstammheim,8477,0,Oberstammheim,36,ZH,702398,276817
Ossingen,8475,0,Ossingen,37,ZH,696776,274089
Rheinau,8462,0,Rheinau,38,ZH,687520,277682
Thalheim an der Thur,8478,0,Thalheim an der Thur,39,ZH,698983,270638
Rudolfingen,8465,0,Trüllikon,40,ZH,692788,277364
Wildensbuch,8465,1,Trüllikon,40,ZH,693223,278500
Trüllikon,8466,0,Trüllikon,40,ZH,694209,277043
Truttikon,8467,0,Truttikon,41,ZH,696797,276290
Unterstammheim,8476,0,Unterstammheim,42,ZH,701722,277564
Volken,8459,0,Volken,43,ZH,689565,269805
Waltalingen,8468,0,Waltalingen,44,ZH,700337,275447
Guntalingen,8468,2,Waltalingen,44,ZH,699721,276795
Bachenbülach,8184,0,Bachenbülach,51,ZH,683461,262013
Bassersdorf,8303,0,Bassersdorf,52,ZH,689694,255515
Bülach,8180,0,Bülach,53,ZH,683021,263508
Dietlikon,8305,0,Dietlikon,54,ZH,688816,253413
Eglisau,8193,0,Eglisau,55,ZH,681815,269953
Embrach,8424,0,Embrach,56,ZH,687140,261806
Freienstein,8427,2,Freienstein-Teufen,57,ZH,686760,265290
Teufen ZH,8428,0,Freienstein-Teufen,57,ZH,684966,267185
Glattfelden,8192,0,Glattfelden,58,ZH,679801,268105
Zweidlen,8192,1,Glattfelden,58,ZH,677368,268308
Hochfelden,8182,0,Hochfelden,59,ZH,681099,264181
Höri,8181,0,Höri,60,ZH,680593,262402
Hüntwangen,8194,0,Hüntwangen,61,ZH,679292,272173
Kloten,8302,0,Kloten,62,ZH,686402,256380
Lufingen,8426,0,Lufingen,63,ZH,687041,260600
Nürensdorf,8309,0,Nürensdorf,64,ZH,691299,255947
Oberembrach,8425,0,Oberembrach,65,ZH,688837,260294
Glattbrugg,8152,0,Opfikon,66,ZH,685032,254250
