"Name of commune" Residents "Change in %" "Population density per km²" "Foreign nationals in %" "0-19 years" "20-64 years" "65 years or over" "Crude marriage rate" "Crude divorce rate" "Crude birth rate" "Crude mortality rate" "Private households" "Size of households in persons" "Total surface area in km2" "Settlement and urban area in %" "Change in ha" "Agricultural area in %" "Change in ha" "Wooded area in %" "Unproductive area in %" "Employed total" "Primary sector" "Secondary sector" "Tertiary sector" "Business establishments total" "Primary sector" "Secondary sector" "Tertiary sector" "Dwelling vacancy rate" "New housing units per 1000 residents" "Social assistance rate" "FDP/PLR 2)" CVP SP SVP EVP/CSP GLP BDP PdA/Sol. GPS "Small right-wing parties"
Switzerland 8,039,060 201 2.1 1.3 0.5 23.3 20.4 62.2 17.4 41,285.0 7.5 35.9 31.3 25.3 4,847,365 171,162 1,082,549 3,593,653 638,685 59,272 94,836 484,577 5.6 0.96 3.1 15.1 12.3 18.7 26.6 2.3 5.4 5.4 0.9 8.4 2.7 2.2     
"Aeugst am Albis" 1,955 247 7.2 6.5 0.5 14.2 21.6 63.0 15.3 7.9 12.6 51.3 30.9 5.2 446 45 13 388 135 17 11 107 7.7 0.46 0.8 14.0 3.3 15.2 28.7 4.2 10.7 6.8 0.0 9.7 4.9 2.5     
"Affoltern am Albis" 11,276 1,063 1.7 0.3 0.7 26.0 21.0 63.0 15.9 10.6 30.8 40.1 28.2 0.9 5,969 83 1,291 4,595 890 25 140 725 8.6 0.42 3.4 10.8 5.7 16.5 31.9 4.5 10.3 6.6 0.1 8.4 2.3 2.9     
Bonstetten 5,205 701 0.9 -1.3 1.9 13.2 24.6 62.3 13.1 7.5 15.6 55.4 28.6 0.4 973 57 115 802 265 17 30 218 0.0 0.17 0.6 12.7 3.7 18.2 27.1 3.3 17.0 5.7 0.1 7.5 1.6 3.1     
"Hausen am Albis" 3,376 248 0.5 0.1 0.5 12.8 23.0 61.4 15.6 13.7 12.6 55.8 29.0 2.6 967 110 102 755 243 41 27 175 5.6 1.37 0.9 9.6 3.3 15.6 33.5 2.2 14.2 6.7 0.0 11.4 1.7 1.7     
Hedingen 3,511 538 3.0 1.5 1.0 14.5 24.1 62.1 13.8 6.5 19.9 46.2 33.2 0.6 1,532 38 765 730 197 12 30 155 9.7 2.46 0.8 8.2 3.7 20.5 31.4 4.1 14.3 4.0 0.2 9.1 2.2 2.3     
"Kappel am Albis" 922 117 0.4 -1.4 1.4 11.9 24.9 61.2 13.9 7.8 8.3 70.0 20.6 1.1 258 57 81 120 91 24 21 46 1.1 5.88 0.3 9.0 4.5 10.5 46.6 4.9 7.4 6.2 0.0 6.7 1.0 3.2     
Knonau 1,982 306 10.1 8.9 0.9 14.8 23.2 62.5 14.3 6.5 18.0 62.2 17.2 2.6 482 69 162 251 118 27 20 71 9.1 1.71 0.8 7.3 4.8 17.1 32.1 7.0 12.3 6.4 0.1 7.8 3.8 1.3     
Maschwanden 641 137 4.1 3.1 0.5 11.5 24.6 60.2 15.1 4.7 9.0 59.6 23.7 7.7 133 47 36 50 47 18 6 23 0.0 1.01 0.2 6.2 1.6 20.7 37.8 8.2 10.7 4.9 0.0 3.8 3.1 3.0     
Mettmenstetten 4,420 340 4.2 3.1 1.0 13.6 22.7 63.0 14.3 13.1 15.9 64.2 18.6 1.2 1,527 149 588 790 276 45 50 181 6.8 2.40 1.2 9.3 4.6 16.3 30.6 4.1 13.4 6.8 0.1 7.9 4.6 2.2     
Obfelden 4,833 640 3.1 1.9 1.2 17.6 23.4 61.6 15.0 7.6 24.2 49.3 21.3 5.2 1,237 70 338 829 299 21 65 213 12.8 0.72 2.2 11.0 6.5 16.3 32.0 4.4 9.5 7.2 0.1 6.6 4.4 2.1     
