Code,Name of commune,Residents,Change in %,Population density per km²,Foreign nationals in %,0-19 years,20-64 years,65 years or over,Crude marriage rate,Crude divorce rate,Crude birth rate,Crude mortality rate,Private households,Size of households in persons,Total surface area in km2,Settlement and urban area in %,Change in ha,Agricultural area in %,Change in ha.1,Wooded area in %,Unproductive area in %,Employed total,Primary sector,Secondary sector,Tertiary sector,Business establishments total,Primary sector.1,Secondary sector.1,Tertiary sector.1,Dwelling vacancy rate,New housing units per 1000 residents,Social assistance rate,FDP/PLR 2),CVP,SP,SVP,EVP/CSP,GLP,BDP,PdA/Sol.,GPS,Small right-wing parties
1,Aeugst am Albis,1981,8.61,250.44,12.77,21.81,62.04,16.15,6.09,2.03,9.64,10.15,809,2.44,7.87,12.58,21,51.33,-22,30.88,5.21,418,34,14,370,135,14,12,109,2.14,1.02,0.82,18.69,2.08,18.65,30.93,3.47,8.44,2.62,0.17,7.08,4.89
2,Affoltern am Albis,11708,5.56,1105.57,27.05,19.7,62.99,17.31,5.76,2.06,9.89,7.39,4989,2.3,10.6,30.75,94,40.09,-93,28.21,0.94,6537,56,1254,5227,956,24,130,802,0.78,5.11,2.96,14.23,4.59,19.08,33.79,5.46,7.36,4.16,0.19,6.21,1.77
3,Bonstetten,5326,3.24,716.82,14.03,24.03,61.17,14.8,3.96,1.88,10.36,3.58,2234,2.38,7.45,15.57,24,55.44,-21,28.59,0.4,932,33,129,770,275,13,27,235,2.22,6.81,0.66,16.47,3.38,20.4,29.1,3.14,11.86,3.8,0.11,6.66,1.92
4,Hausen am Albis,3477,3.48,255.66,13.6,22.17,60.71,17.11,3.46,2.3,8.64,7.49,1439,2.4,13.68,12.65,33,55.77,-31,29.02,2.56,983,106,151,726,257,42,36,179,0.94,1.44,0.92,12.79,2.88,19.39,34.94,2.57,8.75,4.66,0.19,8.02,1.83
5,Hedingen,3660,7.33,560.49,14.86,22.84,62.35,14.81,4.1,3.56,7.93,4.92,1492,2.44,6.53,19.91,44,46.25,-43,33.23,0.61,1463,32,736,695,196,12,25,159,0.94,6.85,1.26,15.81,3.92,22.48,30.11,3.59,9.63,3.77,0.23,6.47,1.84
6,Kappel am Albis,1033,12.53,130.43,14.33,25.17,60.7,14.13,4.89,2.93,13.68,4.89,417,2.47,7.83,8.3,12,69.99,-12,20.56,1.15,353,63,80,210,97,22,19,56,3.89,19.72,0.79,10.95,2.74,10.29,48.62,6.6,5.62,5.13,0.31,4.38,2.77
7,Knonau,2097,16.5,324.11,16.31,23.37,61.37,15.26,4.35,2.42,6.29,6.29,829,2.52,6.51,17.97,19,62.21,-21,17.2,2.61,475,61,93,321,121,26,14,81,1.66,8.84,0.64,11.46,3.13,18.44,32.88,6.17,10.42,5.94,0.01,5.8,3.44
8,Maschwanden,641,4.06,136.67,12.32,23.4,60.84,15.76,7.66,4.59,9.19,6.13,264,2.42,4.68,8.97,-5,59.62,0,23.72,7.69,150,54,33,63,61,20,6,35,2.34,0,0.3,4.89,3.5,22.73,43.38,3.73,4.86,3.45,0.64,5.17,2.11
9,Mettmenstetten,4669,10.04,358.33,14.2,21.82,61.79,16.38,5.91,2.19,10.06,4.59,1894,2.43,13.05,15.94,65,64.21,-70,18.62,1.23,1558,156,592,810,305,46,54,205,1.65,6.26,1.27,13.18,3.65,18.8,35.67,3.47,9.62,4.35,0.13,5.06,3.57
10,Obfelden,5009,6.89,664.32,19.62,23.28,60.37,16.35,5.64,0.81,10.87,4.43,2024,2.46,7.55,24.24,44,49.27,-44,21.32,5.17,1206,62,309,835,311,20,67,224,1.85,6.9,2.39,14.41,6.49,16.92,36.17,4.79,7.39,4.36,0.09,3.71,2.98
